id,title,lat,lng,note,comment,flagged_far_from_denver,miles_from_denver,resolved_label,source_url
36,Dropped pin,39.8998466,-105.0385911,,,,11.4,,"https://www.google.com/maps/search/39.8998466,-105.0385911"
37,Applewood,39.742298,-105.1196208,Bdnshhah,,,6.9,"Applewood, Lakewood, CO 80215",https://www.google.com/maps/place/Applewood/data=!4m2!3m1!1s0x876b8698cbd8898d:0xa68faad1874c6586
38,Fort Phoenix State Reservation,41.6248554,-70.8979457,,,YES,1779.4,Fort Phoenix State Reservation,https://www.google.com/maps/place/Fort+Phoenix+State+Reservation/data=!4m2!3m1!1s0x89e4e15ab6dc1359:0x62f9a7f2e04e87c1
39,Dropped pin,39.6529927,-105.0421745,,,,6.6,,"https://www.google.com/maps/search/39.6529927,-105.0421745"
40,Nederland Community Center,39.9646723,-105.5114919,,,,31.7,Nederland Community Center,https://www.google.com/maps/place/Nederland+Community+Center/data=!4m2!3m1!1s0x876bc6c8ae7668ad:0xec746b7baa31dee6
41,Pinecliffe,39.9320923,-105.4295406,,,,26.8,"Pinecliffe, CO",https://www.google.com/maps/place/Pinecliffe/data=!4m2!3m1!1s0x876bc0128cc7ac97:0xbdfdac5a0a37e659
42,Penitente Canyon Campground,37.8415969,-106.2850709,,,,148.5,Penitente Canyon Campground,https://www.google.com/maps/place/Penitente+Canyon+Campground/data=!4m2!3m1!1s0x8715ecc07042e745:0x11a001597d722803
43,Dropped pin,39.7485173,-105.1620615,,,,9.1,,"https://www.google.com/maps/search/39.7485173,-105.1620615"
44,Dropped pin,39.7750978,-105.2234858,,,,12.6,,"https://www.google.com/maps/search/39.7750978,-105.2234858"
45,Gateway Mesa Open Space,39.3879585,-104.8025278,,,,26.2,Gateway Mesa Open Space,https://www.google.com/maps/place/Gateway+Mesa+Open+Space/data=!4m2!3m1!1s0x876c964d2522570b:0x74d7f136a2037e5f
46,"39°23'24.9""N 104°48'01.2""W",39.39025,-104.8003333,,,,26.1,,"https://www.google.com/maps/search/39.39025,-104.8003333"
47,Dropped pin,39.7455308,-105.1187713,,,,6.8,,"https://www.google.com/maps/search/39.7455308,-105.1187713"
48,,39.7454721,-105.1187549,,,,6.8,,"https://www.google.com/maps/search/39.7454721,-105.1187549"
49,Dropped pin,39.7454295,-105.1187754,,,,6.8,,"https://www.google.com/maps/search/39.7454295,-105.1187754"
50,Dropped pin,39.7455141,-105.1188045,,,,6.8,,"https://www.google.com/maps/search/39.7455141,-105.1188045"
51,Dropped pin,39.7457067,-105.1188324,,,,6.8,,"https://www.google.com/maps/search/39.7457067,-105.1188324"
52,Dropped pin,39.7457415,-105.1190148,,,,6.9,,"https://www.google.com/maps/search/39.7457415,-105.1190148"
53,Dropped pin,39.7456505,-105.1189792,,,,6.9,,"https://www.google.com/maps/search/39.7456505,-105.1189792"
54,Dropped pin,39.6524357,-105.0424454,,,,6.6,,"https://www.google.com/maps/search/39.6524357,-105.0424454"
