Title,Note,URL,Tags,Comment
Roxborough Park,,https://www.google.com/maps/place/Roxborough+Park/data=!4m2!3m1!1s0x876b6328b5b37ab7:0x32ac5892df399a6d,,
Dropped pin,,"https://www.google.com/maps/search/39.7406265,-105.5159223",,
Dropped pin,,"https://www.google.com/maps/search/39.7468425,-105.1248013",,
Dropped pin,,"https://www.google.com/maps/search/39.7423094,-105.1514031",,
Buckingham Park Parking Lot,,https://www.google.com/maps/place/Buckingham+Park+Parking+Lot/data=!4m2!3m1!1s0x876be52cc639c53f:0x708600df697057f2,,
Dropped pin,,"https://www.google.com/maps/search/39.760186,-105.1065475",,
Palmer Park,,https://www.google.com/maps/place/Palmer+Park/data=!4m2!3m1!1s0x87134f5bc2a5548f:0x5c5db07280958345,,
Lookout Mountain Park,,https://www.google.com/maps/place/Lookout+Mountain+Park/data=!4m2!3m1!1s0x876b9b3d0867f7e7:0x4ac5a39846243b36,,
River Run Park,,https://www.google.com/maps/place/River+Run+Park/data=!4m2!3m1!1s0x876c80126f0d1b23:0xc03c2683cfdf7ba0,,
Thumb Rock,,https://www.google.com/maps/place/Thumb+Rock/data=!4m2!3m1!1s0x876b85bf3d068393:0x871d665489c886d,,
Mount Morrison South Ridge Trailhead,,https://www.google.com/maps/place/Mount+Morrison+South+Ridge+Trailhead/data=!4m2!3m1!1s0x876b831ae539f82d:0x224678f0ef7b802d,,
Turkey Trot Trail,,https://www.google.com/maps/place/Turkey+Trot+Trail/data=!4m2!3m1!1s0x876b833585527715:0x27ccc812877471a6,,
Dropped pin,,"https://www.google.com/maps/search/39.5206191,-105.078967",,
Dropped pin,,"https://www.google.com/maps/search/39.7532755,-105.210469",,
Dropped pin,,"https://www.google.com/maps/search/39.7722996,-105.1518658",,
Dropped pin,,"https://www.google.com/maps/search/39.7472959,-105.1261628",,
Dropped pin,,"https://www.google.com/maps/search/39.7457141,-105.1235336",,
Dropped pin,,"https://www.google.com/maps/search/39.7750661,-105.1228416",,
Dropped pin,,"https://www.google.com/maps/search/39.7751774,-105.1131457",,
Dropped pin,,"https://www.google.com/maps/search/39.7442419,-105.1171912",,
Dropped pin,,"https://www.google.com/maps/search/39.7444051,-105.1169659",,
Golden,,https://www.google.com/maps/place/Golden/data=!4m2!3m1!1s0x876b856fa686bf2b:0xae74906d80c71df,,
Daniels Park,,https://www.google.com/maps/place/Daniels+Park/data=!4m2!3m1!1s0x876c9b455257ac25:0x42c2eeb22fd98486,,
Nature’s Valley,,https://www.google.com/maps/place/Nature%E2%80%99s+Valley/data=!4m2!3m1!1s0x876b81a059486727:0x5e9757fb81ab1981,,
Dropped pin,,"https://www.google.com/maps/search/39.7047202,-104.9335105",,
Bear Creek Park,,https://www.google.com/maps/place/Bear+Creek+Park/data=!4m2!3m1!1s0x876b8002ef3a5a11:0x9825c95d3b048b1,,
Red Rocks Elementary School,,https://www.google.com/maps/place/Red+Rocks+Elementary+School/data=!4m2!3m1!1s0x876b82c263acff71:0xc9e4926c7fa8db10,,
